Id	Pathway	Gene
hsa00190	Oxidative phosphorylation	6390
hsa00190	Oxidative phosphorylation	6391
hsa00190	Oxidative phosphorylation	6392
hsa00190	Oxidative phosphorylation	64077
hsa00190	Oxidative phosphorylation	7381
hsa00190	Oxidative phosphorylation	7384
hsa00190	Oxidative phosphorylation	7385
hsa00190	Oxidative phosphorylation	7386
hsa00190	Oxidative phosphorylation	7388
hsa00190	Oxidative phosphorylation	84701
hsa00190	Oxidative phosphorylation	8992
hsa00190	Oxidative phosphorylation	90423
hsa00190	Oxidative phosphorylation	9114
hsa00190	Oxidative phosphorylation	9167
hsa00190	Oxidative phosphorylation	9296
hsa00190	Oxidative phosphorylation	9377
hsa00190	Oxidative phosphorylation	9550
hsa00190	Oxidative phosphorylation	9551
hsa00220	Arginine biosynthesis	100526760
hsa00220	Arginine biosynthesis	1373
hsa00220	Arginine biosynthesis	137362
hsa00220	Arginine biosynthesis	162417
hsa00220	Arginine biosynthesis	27165
hsa00220	Arginine biosynthesis	2744
hsa00220	Arginine biosynthesis	2746
hsa00220	Arginine biosynthesis	2747
hsa00220	Arginine biosynthesis	2752
hsa00220	Arginine biosynthesis	2805
hsa00220	Arginine biosynthesis	2806
hsa00220	Arginine biosynthesis	2875
hsa00220	Arginine biosynthesis	383
hsa00220	Arginine biosynthesis	384
hsa00220	Arginine biosynthesis	435
hsa00220	Arginine biosynthesis	445
hsa00220	Arginine biosynthesis	4842
hsa00220	Arginine biosynthesis	4843
hsa00220	Arginine biosynthesis	4846
hsa00220	Arginine biosynthesis	5009
hsa00220	Arginine biosynthesis	84706
hsa00220	Arginine biosynthesis	95
hsa00230	Purine metabolism	100
hsa00230	Purine metabolism	100526794
hsa00230	Purine metabolism	10201
hsa00230	Purine metabolism	102157402
hsa00230	Purine metabolism	10606
hsa00230	Purine metabolism	107
hsa00230	Purine metabolism	108
hsa00230	Purine metabolism	10846
hsa00230	Purine metabolism	109
hsa00230	Purine metabolism	111
hsa00230	Purine metabolism	11164
hsa00230	Purine metabolism	112
hsa00230	Purine metabolism	113
hsa00230	Purine metabolism	114
hsa00230	Purine metabolism	115
hsa00230	Purine metabolism	122481
hsa00230	Purine metabolism	122622
hsa00230	Purine metabolism	124583
hsa00230	Purine metabolism	131870
hsa00230	Purine metabolism	132
hsa00230	Purine metabolism	144811
hsa00230	Purine metabolism	158
hsa00230	Purine metabolism	158067
hsa00230	Purine metabolism	159
hsa00230	Purine metabolism	1633
hsa00230	Purine metabolism	1716
hsa00230	Purine metabolism	196883
